non-suicidal1,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#1, I saw you in green velvet. wide full sleeves seated in front of a fireplace. our house,17
non-suicidal2,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#2, made somehow more gracious. and you said "There are stars in your hair"— it was truth I,17
non-suicidal3,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#3, brought down with me to this sullen and dingy place that we must make golden,15
non-suicidal4,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#4, make precious and mythical somehow. it is our nature. and it is truth. that we came here. I told you.,20
non-suicidal5,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#5, from other planets where we were lords. we were sent here.,11
non-suicidal6,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#6, for some purpose the golden mask I had seen before. that fitted,12
non-suicidal7,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#7, so beautifully over your face. did not return nor did that face of a bull you had acquired,18
non-suicidal8,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#8, amid northern peoples. nomads. the Gobi desert I did not see those tents again. nor the wagons,17
non-suicidal9,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#9, infinitely slow on the infinitely windy plains. so cold. every star in the sky was a different color,18
non-suicidal10,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#10, the sky itself a tangled tapestry. glowing but almost. I could see the planet from which we had come,19
non-suicidal11,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#11, I could not remember (then) what our purpose was but remembered the name Mahakala. in the dawn,17
non-suicidal12,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#12, in the dawn confronted Shiva. the cold light revealed the "mindborn" worlds. as simply that.,15
non-suicidal13,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#13, I watched them propagated. flowing out. or. more simply. one mirror reflecting another.,13
non-suicidal14,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#14, then broke the mirrors. you were no longer in sight nor any purpose. stared at this new blackness,18
non-suicidal15,Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, sample_id#15, the mindborn worlds fled. and the mind turned off: a madness. or a beginning?,14
non-suicidal16,Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#2, sample_id#16, for Alan This. then. is the gift the world has given me,12
non-suicidal17,Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#2, sample_id#17, (you have given me) softly the snow,7
non-suicidal18,Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#2, sample_id#18, cupped in hollows lying on the surface of the pond,10
non-suicidal19,Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#2, sample_id#19, matching my long white candles which stand at the window,10
non-suicidal20,Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#2, sample_id#20, which will burn at dusk while the snow fills up our valley,12
non-suicidal21,Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#2, sample_id#21, this hollow no friend will wander down,7
non-suicidal22,Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#2, sample_id#22, no one arriving brown from Mexico from the sunfields of California. bearing pot,13
