non-suicidal1,non-suicidal_Poet_1,non-suicidal, I saw you in green velvet. wide full sleeves seated in front of a fireplace. our house made somehow more gracious. and you said "There are stars in your hair"— it was truth I brought down with me,38
non-suicidal103,non-suicidal_Poet_2,non-suicidal, The grace of my style. I’m a woman Phenomenally. Phenomenal woman. That’s me.,15
non-suicidal108,non-suicidal_Poet_2,non-suicidal, woman in Pakistan. Happy prints of an invisible time are illumined. My mouth agape rejects the solid air and,19
non-suicidal110,non-suicidal_Poet_2,non-suicidal, through the padding of the door. I cannot scream. A bone of fear clogs my throat. It is upon me. It is sunrise. with Hope,25
non-suicidal111,non-suicidal_Poet_2,non-suicidal, its arrogant rider. My mind. formerly quiescent in its snug encasement. is strained to look upon their rapturous visages. to let them enter even into me.,26
non-suicidal112,non-suicidal_Poet_2,non-suicidal, I am forced outside myself to mount the light and ride joined with Hope. Through all the bright hours I cling to expectation. until,24
non-suicidal113,non-suicidal_Poet_2,non-suicidal, darkness comes to reclaim me as its own. Hope fades. day is gone into its irredeemable place and I am thrown back into the familiar bonds of disconsolation.,28
non-suicidal114,non-suicidal_Poet_2,non-suicidal, Gloom crawls around lapping lasciviously between my toes. at my ankles. and it sucks the strands of my hair. It forgives my heady,23
non-suicidal115,non-suicidal_Poet_2,non-suicidal, fling with Hope. I am joined again into its greedy arms.,11
non-suicidal117,non-suicidal_Poet_2,non-suicidal, Why are you beset with gloom? ’Cause I walk like I've got oil wells Pumping in my living room. Just like moons and like suns. With the certainty of tides.,31
non-suicidal118,non-suicidal_Poet_2,non-suicidal, Just like hopes springing high. Still I'll rise. Did you want to see me broken? Bowed head and lowered eyes? Shoulders falling down like teardrops.,26
non-suicidal119,non-suicidal_Poet_2,non-suicidal, Weakened by my soulful cries? Does my haughtiness offend you? Don't you take it awful hard ’Cause I laugh like I've got gold mines Diggin’ in my own backyard.,31
non-suicidal124,non-suicidal_Poet_3,non-suicidal, I rise I rise I rise.,6
non-suicidal129,non-suicidal_Poet_3,non-suicidal, The supper bell was ringing as Neil strode- - A bucket of warm milk in either hand; The cat and her five kittens at her heels- - Down through the yellow tansy in the lane Where Tod and I were washing in the trough-- -,42
non-suicidal130,non-suicidal_Poet_3,non-suicidal, We'd laid the pipe last summer from the hills - - And said. his weather eye cocked toward the south. "We're in for rain by morning. The wind has changed. So we'll be finishing the hay tonight." Tod lifted his black curly head. from which,46
non-suicidal132,non-suicidal_Poet_3,non-suicidal, I looked away. What could a fellow do? And Nancy'd promised she would go with me . . . Neil turned and went on slowly to the house. His shirt was stained across the back with sweat; He looked dog-tired. We all were. We'd been up,46
non-suicidal135,non-suicidal_Poet_3,non-suicidal, But Tod was mad - - you couldn't blame him much - - "Don't be a fool!" he snapped. "Neil thinks because We're kids that he can run us." Then Maurine - - Neil's wife: she's kind of little-like and thin From over-work and worry. but sure good,49
non-suicidal136,non-suicidal_Poet_3,non-suicidal, To Tod and me - - we'd lived with her and Neil Since Dad and Mother died - -Maurine then called. "Your suppers's hot and waiting. Come and get it. boys." So when we'd wiped upon the roller-towel Beside the kitchen door. we dragged our chairs,47
non-suicidal138,non-suicidal_Poet_3,non-suicidal, Hot biscuits get blue ribbons at the Fair - - And no one talked. till. belts let out a notch. Our chairs tipped back against the wall. Neil said. As he lit his pipe. "What about it. kids?" Maurine's brown eyes were pleading. go with him - -,45
non-suicidal140,non-suicidal_Poet_3,non-suicidal, As any alder tree. She dances too Like willows swaying in April wind - - But Nancy Saunders comes of farmer stock: "Next week. then. Karl." she said. "when haying's done." Neil had the big greys hitched up to the rick,40
non-suicidal141,non-suicidal_Poet_3,non-suicidal, When we ran to the barn. So Tod and I Climbed in the back and sat with dangling heels As Prince and Nelly ambled down the lane Between the daisies and the Bouncing Bet. It was a different world from afternoon.,41
non-suicidal142,non-suicidal_Poet_3,non-suicidal, The air as yellow-cool as buttercups. The sun had set; the sky. no longer fiery-blue. Was fleeced with lamb's wool clouds. and these Were finged with wild rose pink. I looked at Tod And Neil. and wondered if they noticed too.,44
non-suicidal143,non-suicidal_Poet_3,non-suicidal, I couldn't see Neil's features. but his back Looked rested-like. Tod sort of sighed. and chewed A clover stalk . . . and when a t last we slide The creaking gate bars out. and rattled in The west-end meadow - - the sightliest spot,44
non-suicidal144,non-suicidal_Poet_3,non-suicidal, In all Glenacres any time of day - - It was so beautiful now in the dusk That something caught me in the throat Like Christmas carols on the radio . . . Long purple shadows from the fir trees lay,36
non-suicidal145,non-suicidal_Poet_3,non-suicidal, Across the cocks stubble. It was so still That we could hear the falls of Cedar Creek . . . A wood thrush in the hazel bushes piped One sweet high note; an owl called to his mate; White foxgloves glowed like candles by the fence.,43
non-suicidal146,non-suicidal_Poet_3,non-suicidal, In place of choking dust. there now was dew. As Tod and I forked up the hay to Neil. Who stacked as fast as two of us could pitch. The fragrance made me think of Nancy's hair . . . With every load. the magic grew. A star,46
non-suicidal147,non-suicidal_Poet_3,non-suicidal, Rose in the west . . . We worked with scarce a word. Oh. it was like our church with hymns and prayers On Sunday when the riding parson comes. Then as we took the last road in. the moon Came up behind the hill. and Tod and Neil,46
